               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.062193,            0.016001,           0.0051111,              0.1098,            0.093695,            0.044535,            0.015568,            0.088783,             0.01868,            0.024496,            0.002674,            0.002674,            0.002674
                  39,            0.060917,            0.015802,           0.0038498,             0.12412,             0.11996,            0.059384,            0.020123,            0.088277,             0.01843,            0.022881,            0.002476,            0.002476,            0.002476
                  40,            0.060172,            0.015622,           0.0040183,             0.11116,             0.10376,            0.057893,            0.021205,            0.088635,            0.018662,             0.02457,            0.002278,            0.002278,            0.002278
                  41,             0.05881,            0.015344,            0.003273,              0.1612,             0.10157,            0.059388,            0.020705,            0.089419,            0.018671,            0.026666,             0.00208,             0.00208,             0.00208
                  42,             0.05826,            0.015533,           0.0035624,             0.15777,            0.095291,            0.060978,            0.025635,            0.089598,            0.018728,            0.026101,            0.001882,            0.001882,            0.001882
                  43,            0.057894,            0.015506,           0.0031531,             0.12604,             0.12267,              0.0621,            0.022969,            0.089648,            0.018881,            0.028212,            0.001684,            0.001684,            0.001684
                  44,             0.05617,            0.015445,           0.0028935,             0.14213,             0.11179,            0.055515,            0.021889,            0.090066,            0.018539,            0.027643,            0.001486,            0.001486,            0.001486
                  45,            0.055261,            0.015069,           0.0027328,             0.11902,             0.11437,            0.060725,            0.022582,            0.090095,            0.018869,            0.026252,            0.001288,            0.001288,            0.001288
                  46,            0.054645,            0.014926,           0.0026037,             0.12824,             0.11428,             0.05477,            0.018566,            0.090342,            0.019027,             0.02602,             0.00109,             0.00109,             0.00109
                  47,            0.053634,            0.014448,            0.002451,               0.174,              0.1115,            0.062578,            0.022647,            0.090634,            0.018785,            0.026492,            0.000892,            0.000892,            0.000892
                  48,             0.05352,            0.014492,           0.0022069,             0.14835,             0.12326,            0.063324,            0.021857,            0.090809,            0.018867,            0.026735,            0.000694,            0.000694,            0.000694
                  49,            0.052868,            0.014505,           0.0020676,             0.15525,             0.14524,            0.071614,            0.023472,            0.090278,             0.01906,            0.026584,            0.000496,            0.000496,            0.000496
